evaluation_set,statistic,chunker,noise_level,metric,estimate,ci_95_low,ci_95_high,bootstrap_iterations,seed
context_verified,mean,recursive,severe,mrr_at_100,0.5653258562088013,0.5537950709462166,0.5768534123897553,5000,20260913
context_verified,mean,semantic,clean,hit_at_1,0.5061588287353516,0.4927041828632355,0.5199924111366272,5000,20260913
context_verified,mean,semantic,clean,hit_at_5,0.7390562891960144,0.727117657661438,0.750994861125946,5000,20260913
context_verified,mean,semantic,clean,mrr_at_100,0.6123275756835938,0.6012785822153092,0.6237016245722771,5000,20260913
context_verified,mean,semantic,mild,hit_at_1,0.5101383328437805,0.4966837167739868,0.5239719748497009,5000,20260913
context_verified,mean,semantic,mild,hit_at_5,0.7432253360748291,0.7312867045402527,0.7553533911705017,5000,20260913
context_verified,mean,semantic,mild,mrr_at_100,0.6126676797866821,0.6012664407491684,0.6239829987287522,5000,20260913
context_verified,mean,semantic,moderate,hit_at_1,0.4824711084365845,0.4684479832649231,0.4963047206401825,5000,20260913
context_verified,mean,semantic,moderate,hit_at_5,0.7237066626548767,0.7115785479545593,0.7360242605209351,5000,20260913
context_verified,mean,semantic,moderate,mrr_at_100,0.5910131931304932,0.579469196498394,0.6025867864489556,5000,20260913
context_verified,mean,semantic,severe,hit_at_1,0.4587833881378174,0.44551828503608704,0.4726170301437378,5000,20260913
context_verified,mean,semantic,severe,hit_at_5,0.6985029578208923,0.686185359954834,0.7110100388526917,5000,20260913
context_verified,mean,semantic,severe,mrr_at_100,0.5685179829597473,0.5570318207144738,0.5799372792243958,5000,20260913
context_verified,mean,structure,clean,hit_at_1,0.5101383328437805,0.49687322974205017,0.5239719748497009,5000,20260913
context_verified,mean,structure,clean,hit_at_5,0.7415198087692261,0.7295811772346497,0.7532688975334167,5000,20260913
context_verified,mean,structure,clean,mrr_at_100,0.6139465570449829,0.60283342897892,0.6256597459316253,5000,20260913
context_verified,mean,structure,mild,hit_at_1,0.48303961753845215,0.46958500146865845,0.4963047206401825,5000,20260913
context_verified,mean,structure,mild,hit_at_5,0.721622109413147,0.7094940543174744,0.7337502241134644,5000,20260913
context_verified,mean,structure,mild,mrr_at_100,0.590981125831604,0.5795410558581352,0.6020554274320602,5000,20260913
context_verified,mean,structure,moderate,hit_at_1,0.46674245595932007,0.4530936188995838,0.48019707202911377,5000,20260913
context_verified,mean,structure,moderate,hit_at_5,0.704756498336792,0.6926283836364746,0.7170740962028503,5000,20260913
context_verified,mean,structure,moderate,mrr_at_100,0.5749173164367676,0.5634544759988784,0.5864351794123649,5000,20260913
context_verified,mean,structure,severe,hit_at_1,0.45613038539886475,0.442865252494812,0.46958500146865845,5000,20260913
context_verified,mean,structure,severe,hit_at_5,0.6943339109420776,0.6820163130760193,0.7070305347442627,5000,20260913
context_verified,mean,structure,severe,mrr_at_100,0.5636991262435913,0.552517931163311,0.5750549480319023,5000,20260913
context_verified,absolute_degradation,fixed,mild,hit_at_1,0.013644099235534668,0.0024635188281536104,0.025014221668243408,5000,20260913
context_verified,absolute_degradation,fixed,mild,hit_at_5,0.0064430832862854,-0.0026530027389526367,0.015539109706878662,5000,20260913
context_verified,absolute_degradation,fixed,mild,mrr_at_100,0.012163937091827393,0.004123224318027497,0.02010145932435989,5000,20260913
context_verified,absolute_degradation,fixed,moderate,hit_at_1,0.028425216674804688,0.015918105840682983,0.04093235731124878,5000,20260913
context_verified,absolute_degradation,fixed,moderate,hit_at_5,0.018002688884735107,0.007959067821502686,0.027667224407196045,5000,20260913
context_verified,absolute_degradation,fixed,moderate,mrr_at_100,0.0252377986907959,0.01624285876750946,0.03416031152009963,5000,20260913
context_verified,absolute_degradation,fixed,severe,hit_at_1,0.047754377126693726,0.03562629222869873,0.06045103073120117,5000,20260913
context_verified,absolute_degradation,fixed,severe,hit_at_5,0.03771084547042847,0.027477741241455078,0.0479438915848732,5000,20260913
context_verified,absolute_degradation,fixed,severe,mrr_at_100,0.04282987117767334,0.03387331515550614,0.051917955279350274,5000,20260913
context_verified,absolute_degradation,recursive,mild,hit_at_1,0.023498177528381348,0.010796818137168885,0.03582057133316987,5000,20260913
context_verified,absolute_degradation,recursive,mild,hit_at_5,0.016107678413391113,0.0064430832862854,0.02577221393585205,5000,20260913
context_verified,absolute_degradation,recursive,mild,mrr_at_100,0.020607948303222656,0.011567023396492005,0.02937076389789581,5000,20260913
context_verified,absolute_degradation,recursive,moderate,hit_at_1,0.036763280630111694,0.023498206585645675,0.05040740966796875,5000,20260913
context_verified,absolute_degradation,recursive,moderate,hit_at_5,0.03354179859161377,0.022929668426513672,0.044532835483551025,5000,20260913
